,param_C,param_penalty,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_specificity,std_test_specificity,mean_test_npv,std_test_npv
0,0.1,,0.6152249603918268,0.023236210336928,0.720287136570233,0.007203815786311816,0.6632616866379439,0.010832325083166757,0.8751287711552612,0.013314042283175875,0.9189654184139666,0.0011511802168348655
1,0.1,l2,0.4600866327324294,0.01525443625521397,0.8126902820864295,0.02159038775951185,0.5874888439765401,0.01721668291325385,0.7366665568405214,0.011305050482244781,0.9344515244186912,0.00751825093829699
2,0.1,,0.6644817896889573,0.029390718316467085,0.6554433302070558,0.010338900623926412,0.659660353218623,0.016873779534914955,0.9082545330741436,0.011067619562000182,0.9052409261311258,0.0028014653747271724
3,0.1,l2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
4,1.0,,0.6152249603918268,0.023236210336928,0.720287136570233,0.007203815786311816,0.6632616866379439,0.010832325083166757,0.8751287711552612,0.013314042283175875,0.9189654184139666,0.0011511802168348655
5,1.0,l2,0.5244987215922016,0.013235546181344005,0.8343120986941781,0.024370471964458938,0.6440601020958385,0.016791524907208605,0.7913226362667897,0.00588674654105835,0.9454197722036657,0.0077624537301694135
6,1.0,,0.6644817896889573,0.029390718316467085,0.6554433302070558,0.010338900623926412,0.659660353218623,0.016873779534914955,0.9082545330741436,0.011067619562000182,0.9052409261311258,0.0028014653747271724
7,1.0,l2,0.7953498143443424,0.06401561670293485,0.1704422480340524,0.017797306652122508,0.27987502879270537,0.023897470092468256,0.9874150220201422,0.0051909861094208065,0.8118328766930965,0.0027461442637947116
8,10.0,,0.6152249603918268,0.023236210336928,0.720287136570233,0.007203815786311816,0.6632616866379439,0.010832325083166757,0.8751287711552612,0.013314042283175875,0.9189654184139666,0.0011511802168348655
9,10.0,l2,0.5907452505418845,0.018797284792027386,0.8271264699516628,0.023247586045476953,0.6890819301531257,0.0183421649464375,0.8416729816700164,0.011013833617062686,0.9464005542707735,0.006893169641318072
10,10.0,,0.6644817896889573,0.029390718316467085,0.6554433302070558,0.010338900623926412,0.659660353218623,0.016873779534914955,0.9082545330741436,0.011067619562000182,0.9052409261311258,0.0028014653747271724
11,10.0,l2,0.8173611020467003,0.0498773808399214,0.5450256114277469,0.03712607656020866,0.6535126777686291,0.038920583190785285,0.9662180268634751,0.009735361208518482,0.8850502666129204,0.008890456535279688
12,100.0,,0.6152249603918268,0.023236210336928,0.720287136570233,0.007203815786311816,0.6632616866379439,0.010832325083166757,0.8751287711552612,0.013314042283175875,0.9189654184139666,0.0011511802168348655
13,100.0,l2,0.6134378805213317,0.02205590215481788,0.8127407834932544,0.023092110242037247,0.6991350768094954,0.022573658084673532,0.8585669884572722,0.009455012923866163,0.9432165388638459,0.007150154591882618
14,100.0,,0.6644817896889573,0.029390718316467085,0.6554433302070558,0.010338900623926412,0.659660353218623,0.016873779534914955,0.9082545330741436,0.011067619562000182,0.9052409261311258,0.0028014653747271724
15,100.0,l2,0.769869958174477,0.03646785758003709,0.6458264194502561,0.02227649148147579,0.7020267351795269,0.02361851282150152,0.9463427893644362,0.010542029787443803,0.90641780001272,0.005542772796265434
16,1000.0,,0.6152249603918268,0.023236210336928,0.720287136570233,0.007203815786311816,0.6632616866379439,0.010832325083166757,0.8751287711552612,0.013314042283175875,0.9189654184139666,0.0011511802168348655
17,1000.0,l2,0.6264998217638201,0.026737240671029613,0.7694971502777578,0.011338341081816545,0.6903703688702494,0.017979696298567476,0.8728075955762028,0.014732153480872695,0.9320703282114696,0.003374309275414327
18,1000.0,,0.6644817896889573,0.029390718316467085,0.6554433302070558,0.010338900623926412,0.659660353218623,0.016873779534914955,0.9082545330741436,0.011067619562000182,0.9052409261311258,0.0028014653747271724
19,1000.0,l2,0.7241172029233647,0.014559603785389647,0.6578673977346512,0.029041527034409948,0.6890507300529646,0.017884400896508824,0.9307743841498908,0.005451720897597353,0.9079827063350632,0.00701507211553314
