,param_estimator__C,param_estimator__gamma,param_estimator__kernel,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_specificity,std_test_specificity,mean_test_npv,std_test_npv
0,1,0.001,linear,0.7287986000554575,0.03992393636816168,0.5593968689127768,0.024896529806330146,0.6327884016871259,0.029118006927888185,0.9423709268228395,0.009246108906589761,0.8857424570428565,0.006278140074736615
1,1,0.001,rbf,0.21874640598044853,0.26793840681143943,0.055421686746987955,0.06883304509438892,0.0882351580748861,0.10908659116376188,0.9874172185430463,0.015552342471281294,0.791418836866858,0.010092059315036431
2,1,0.01,linear,0.7287986000554575,0.03992393636816168,0.5593968689127768,0.024896529806330146,0.6327884016871259,0.029118006927888185,0.9423709268228395,0.009246108906589761,0.8857424570428565,0.006278140074736615
3,1,0.01,rbf,0.21874640598044853,0.26793840681143943,0.055421686746987955,0.06883304509438892,0.0882351580748861,0.10908659116376188,0.9874172185430463,0.015552342471281294,0.791418836866858,0.010092059315036431
4,10,0.001,linear,0.7563666239442637,0.05089233162886812,0.6170045451266143,0.0329738633061225,0.6792594574057815,0.038297986852542716,0.9446871602253631,0.014021692564389497,0.8993902966059405,0.008625428268254255
5,10,0.001,rbf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
6,10,0.01,linear,0.7563666239442637,0.05089233162886812,0.6170045451266143,0.0329738633061225,0.6792594574057815,0.038297986852542716,0.9446871602253631,0.014021692564389497,0.8993902966059405,0.008625428268254255
7,10,0.01,rbf,0.6487249289147929,0.03563071885650542,0.4369886732558978,0.023737222467762685,0.5218066579103731,0.024639307315055585,0.9344200630402074,0.009138049087239787,0.8574671121589874,0.005419311704544176
8,100,0.001,linear,0.7477437305875901,0.02061664469371814,0.6134333742154245,0.013233512305002288,0.673724829886487,0.010471442144177483,0.9426971104741195,0.0064983083730469696,0.8983705099187869,0.0029139517206347664
9,100,0.001,rbf,0.6487249289147929,0.03563071885650542,0.4369886732558978,0.023737222467762685,0.5218066579103731,0.024639307315055585,0.9344200630402074,0.009138049087239787,0.8574671121589874,0.005419311704544176
10,100,0.01,linear,0.7477437305875901,0.02061664469371814,0.6134333742154245,0.013233512305002288,0.673724829886487,0.010471442144177483,0.9426971104741195,0.0064983083730469696,0.8983705099187869,0.0029139517206347664
11,100,0.01,rbf,0.7505711947513369,0.04368392225706037,0.6086068826203016,0.03504184244648776,0.6719097929463722,0.036339303560098145,0.9440271050926384,0.010522751693081499,0.8973769740779669,0.008813909719617074
12,1000,0.001,linear,0.7243593318311894,0.03633893582942281,0.5474496789553424,0.032971898031104625,0.6232167076062252,0.031184825381828905,0.9423659846463049,0.008653901800177423,0.8830321254901043,0.008011317766805649
13,1000,0.001,rbf,0.7505955976253976,0.04327822793823373,0.6085996681336123,0.03534390651012183,0.6718828102166311,0.03612411397693813,0.9440271050926384,0.010522751693081499,0.897380900387601,0.0088084153096054
14,1000,0.01,linear,0.7243593318311894,0.03633893582942281,0.5474496789553424,0.032971898031104625,0.6232167076062252,0.031184825381828905,0.9423659846463049,0.008653901800177423,0.8830321254901043,0.008011317766805649
15,1000,0.01,rbf,0.7593495518687917,0.03809029197568556,0.6098044874107208,0.03177086615178054,0.6758998149330123,0.029642081952401138,0.94634224023371,0.010543981803281265,0.8978980399363661,0.007647042792509736
